Title,Tag,Summary,Url,Rating,Make_Again_Pct,Ingredients,Direction,Tags
Thai-Style Squid and Cucumber Salad,recipe,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.",/recipes/food/views/thai-style-squid-and-cucumber-salad,2.5,50%,"['1/4 cup fresh lime juice (from about 3 limes)', '1 garlic clove, finely grated', '1 Tbsp. fish sauce', '1 1/2 tsp. dark brown sugar', '1/4 cup plus 1 Tbsp. (or more) vegetable oil', '2 tsp. kosher salt, divided', '4 mini seedless or Persian cucumbers, halved lengthwise, sliced diagonally into 1/4""-thick slices', '1–2 Fresno chiles, seeded, thinly sliced', '1/2 cup salted, roasted peanuts', '1 1/2 lb. cleaned squid, patted dry', '1/4 cup cilantro sprigs', 'Steamed white rice (for serving; optional)']","['Whisk lime juice, garlic, fish sauce, brown sugar, 1/4 cup oil, and 1/2 tsp. salt in a large bowl. Add cucumber, chiles, and peanuts and toss to coat. Set aside.', 'Make sure squid is as dry as possible, then toss with remaining 1 1/2 tsp. salt. Separate bodies from tentacles.', 'Heat 1 Tbsp. oil in a large cast-iron skillet until smoking. Sear half of the tentacles (don’t try to do more than half—you don’t want to crowd the pan), turning once halfway through, until lightly charred and opaque, 2–3 minutes. Transfer to a plate. Repeat with remaining tentacles, adding more oil if needed. Add a little more oil, then sear half of the bodies, turning once and picking up with tongs so that any liquid that has accumulated inside bodies can pour off into skillet and evaporate, until lightly charred and opaque, 2–3 minutes. Transfer to plate with cooked tentacles. Repeat with remaining bodies. Thinly slice bodies, then transfer squid to bowl with cucumber mixture and toss to coat.', 'Arrange salad on a platter and drizzle remaining dressing over. Top with cilantro sprigs. Serve with rice alongside, if using.']","['Salad', 'Lime Juice', 'Garlic', 'Cucumber', 'Chile', 'Peanut', 'Squid', 'Cilantro', 'Rice', 'Dinner', 'Asian', 'Southeast Asian', 'Thai', 'Thailand', 'Seafood', 'Summer', 'Spring']"
Spicy Grilled Chicken with Crunchy Fennel Salad,recipe,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.",/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad,4,100%,"['1 1/2 lb. skinless, boneless chicken thighs', 'Kosher salt', '2 garlic cloves', '3 oil-packed anchovy fillets (optional)', '1 red chile (such as Fresno or Holland), seeds removed, coarsely chopped', '2 Tbsp. tomato paste', '2 tsp. finely chopped oregano', '5 Tbsp. extra-virgin olive oil, divided, plus more for grilling', '2 lemons, halved', '2 medium fennel bulbs, tough outer layers removed, halved lengthwise, thinly sliced crosswise', '1 small white onion, very thinly sliced into rounds', '2 Tbsp. unseasoned rice vinegar', '1 Tbsp. toasted white and/or black sesame seeds']","['Pat chicken dry and season with salt. Set aside on a plate.', 'Smash garlic under the flat side of a chef’s knife on your cutting board. Add anchovies, if using, chile, and a couple of pinches of salt and continue smashing with the side of your knife until a paste forms. (You can also do this with a mortar and pestle.) Transfer paste to a large bowl and stir in tomato paste, oregano, and 3 Tbsp. oil. Add chicken and toss to coat. Let sit at room temperature 1 hour.', 'Meanwhile, prepare a grill for medium heat. Clean and oil grate. Grill chicken, turning once, until lightly charred and cooked through, about 4 minutes per side.', 'While the chicken is cooking, grill lemons, cut side down, until lightly charred and starting to caramelize, about 4 minutes. Transfer to a platter.', 'Transfer chicken to platter with lemons and let rest 5 minutes.', 'While the chicken is resting, toss fennel, onion, and vinegar in a medium bowl; drizzle with remaining 2 Tbsp. oil and season with a big pinch of salt and toss once more.', 'Mound fennel salad next to chicken and sprinkle sesame seeds over both. Squeeze grilled lemons over chicken and fennel salad.']","['Bon Appétit', 'Dinner', 'Chicken', 'Fennel', 'Sesame', 'Anchovy', 'Grill/Barbecue', 'Grill', 'Chile Pepper', 'Hot Pepper']"
Lemon Salmon with Creamy Cucumber Salad,recipe,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing.",/recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad,2.5,60%,"['4 (6-ounce) skin-on wild-caught salmon fillets', '1/2 cup extra virgin olive oil, plus more for grilling', '1 tablespoon grated Meyer or regular lemon zest', 'Juice of 2 Meyer lemons (see head note) or regular lemons, plus 1 or 2 Meyer or regular lemons, sliced into 8 thin rounds', '1 tablespoon minced fresh dill', '1 tablespoon pink or regular sea salt']","['To prepare the salmon: Brush the skin side of the salmon fillets with some olive oil. In a small bowl, combine the 1/2 cup olive oil, lemon zest, lemon juice, dill, and salt. Pour the mixture into a shallow dish and place the fillets skin side up in the dish. Cover and refrigerate for 1 hour.', 'Meanwhile, prepare the creamy cucumber salad: In a medium bowl, whisk together the mayonnaise, sour cream, lemon juice, dill, salt, and pepper. Fold in the cucumber until completely coated. Taste and adjust the lemon juice or salt. Cover and refrigerate until needed, up to 2 hours.', 'Prepare a medium-hot grill. Lightly oil the grill grate.', 'Place the fillets skin side down on the grill and brush them with the marinade. Cover the grill and cook without flipping until the salmon flakes, 10 to 12 minutes. Brush the lemon slices on both sides with oil and grill until marks appear, 1 to 2 minutes per side.', 'Arrange the fish on individual plates or a serving platter. Place 1 or 2 grilled lemon slices on top of each fillet and dust with chives. Serve with the cucumber salad.', 'Store leftover salmon and cucumber salad in the refrigerator for up to 2 days.']","['HarperCollins', 'HarperCollins', 'Salmon', 'Grill', 'Lemon', 'Cucumber', 'Mayonnaise', 'Sour Cream', 'Dill', 'Summer', 'Grill/Barbecue', 'Dinner', 'Seafood', 'Fish']"
Smashed Cucumber Salad with Hot Vinegar,recipe,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered.",/recipes/food/views/smashed-cucumber-salad-with-hot-vinegar,0,0%,"['5 mini seedless or Persian cucumbers or 1 small English hothouse cucumber (about 12 oz.)', 'Kosher salt', '4 red or green Thai chiles, halved lengthwise keeping stem end intact, or 1 serrano chile, thinly sliced', '2 garlic cloves, lightly smashed', '1/2 cup unseasoned rice vinegar', '2 Tbsp. fish sauce', '1 Tbsp. sugar', 'Chopped unsalted or salted roasted peanuts (for serving)']","['Gently smash cucumbers with a rolling pin or the back of a heavy knife just to break open. Tear into irregular 2"" pieces and place in a medium bowl; season lightly with salt. Let sit at least 5 minutes and up to 1 hour.', 'Meanwhile, whisk chiles, garlic, vinegar, fish sauce, and sugar in a medium bowl until sugar dissolves. Let sit while cucumbers macerate.', 'Drain cucumbers, discarding any liquid they have released. Add to bowl with dressing and toss several times to coat. Top with peanuts.']","['Bon Appétit', 'Salad', 'Cucumber', 'Vinegar', 'Chile Pepper', 'Peanut', 'Vegan', 'Vegetarian', 'Side', 'Asian']"
Sam's Spring Fattoush Salad,recipe,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad,4,100%,"['2 pieces lavash bread', '1/4 cup plus 3 tablespoons extra-virgin olive oil', 'Kosher salt', 'Aleppo pepper (optional)', '1/4 cup lemon juice', '1 clove garlic, peeled and minced', '5 Persian, Armenian, or Japanese cucumbers, thinly sliced', '5 radishes, thinly sliced', '3 green onions, thinly sliced', '1 cup dill fronds', '1 cup mint leaves', '1/2 cup feta, preferably sheep’s milk']","['Preheat the oven to 350°F. Brush the lavash on both sides with 3 tablespoons of the olive oil. Arrange on a baking sheet and sprinkle with salt and Aleppo pepper, if using. Transfer to the oven and bake until golden and crisp, 8 to\n10 minutes. Remove from the oven and let cool.', 'In a small bowl, whisk together the lemon juice, garlic, and a generous pinch of salt. Whisk in the remaining 1/4 cup olive oil until combined.', 'In a large salad bowl, combine the cucumbers, radishes, green onions, dill, and mint. Drizzle half of the dressing over it and toss with your hands to coat. Break the lavash into bite-size pieces and add to the bowl along with the feta. Drizzle over the remaining dressing and gently mix with your hands to combine. Season to taste with additional salt and Aleppo pepper and serve immediately.']","['Small Plates', 'Salad', 'Spring', 'Bread', 'Cucumber', 'Radish', 'Green Onion/Scallion', 'Dill', 'Mint', 'Feta', 'Quick & Easy', 'Quick and Healthy', 'Vegetarian']"
Everything You Don't Know About Electric Knives,article,The history isn't pretty.,/expert-advice/how-to-handle-electric-knife-article,,,,,
Skirt Steak with Spicy Coconut Dressing,recipe,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,/recipes/food/views/skirt-steak-with-spicy-coconut-dressing,4,100%,"['1/2 red jalapeno, Fresno or serrano chile, finely grated', '1 garlic clove, finely grated', '1-inch piece fresh ginger, peeled and finely grated', '4 tablespoons coconut cream from 1 small can unsweetened full-fat coconut milk', '1/4 cup fresh lime juice, plus wedges for serving', 'Kosher salt', '2 tablespoons unsweetened shredded coconut', '1 pound skirt steak, cut into two or three pieces', '2 tablespoons extra-virgin olive oil', '1/2 head iceberg lettuce, leaves torn into palm-size pieces', 'Handful of cilantro leaves and tender stems, torn', '1 avocado, cut into 1/2-inch pieces']","['In a large bowl, combine chile, garlic, ginger, coconut cream, and lime juice. Season with salt and stir to combine. Stir in coconut and taste dressing: It should be fairly tangy, spicy, and salty to balance the mild iceberg. Dressing may seize up and seem very thick, but it will loosen up when tossed with the salad.', 'Season steak on both sides with salt.', 'Place a 10- or 12-inch skillet, preferably cast-iron, over medium-high heat. Add oil and when it shimmers, place steaks carefully into pan and cook, undisturbed, until browned on underside, 2–3 minutes. Turn and cook until browned on second side and medium-rare, about 2 minutes longer. Transfer steaks to a platter and let rest 5–10 minutes before cutting against the grain into 1/4-inch slices.', 'Add lettuce and cilantro to bowl with dressing and toss to coat. Taste the lettuce and add more salt and/or lime juice if needed. Add avocado and toss gently to distribute. Serve steak and salad with lime wedges for squeezing over.']","['Dinner', 'Steak', 'Salad', 'Chile Pepper', 'Ginger', 'Coconut', 'Lime Juice', 'Avocado', 'Lettuce', 'Cilantro', 'Beef', 'Soy Free', 'Dairy Free', 'Peanut Free', 'Wheat/Gluten-Free', 'Tree Nut Free', 'Kid-Friendly', 'Small Plates', 'Quick & Easy', 'Quick and Healthy']"
Weekly Meal Plan: March 11–15,article,"A Sunday frittata, impromptu Pu Pu, and a super-easy steak night.",/expert-advice/weekly-meal-plan-sunday-frittata-impromptu-pu-pu-and-a-super-easy-steak-night-article,,,,,
Mango Toast with Hazelnut-Pepita Butter,recipe,"Savory fruit toast is the new avocado toast. Other combinations we’re crushing on: lemony yogurt with cucumbers, almond butter and pears.",/recipes/food/views/mango-toast-with-hazelnut-pepita-butter,0,0%,"['1 cup blanched hazelnuts', '1 cup raw pumpkin seeds (pepitas)', 'Kosher salt', '1/4 cup freeze-dried blueberries', '2 teaspoons mild red pepper flakes (such as Aleppo-style or Urfa pepper)', '4 slices sourdough bread, toasted', '2 tablespoons extra-virgin olive oil, plus more for drizzling', '2 large ripe mangoes, peeled, sliced', 'Honey (for serving)', 'Flaky sea salt']","['Preheat oven to 300°F. Toast hazelnuts on a rimmed baking sheet, tossing once, until golden brown, 20–25 minutes.', 'Meanwhile, toast pumpkin seeds on a separate baking sheet, tossing once, until just beginning to brown in a few spots and very fragrant, 14–16 minutes.', 'Let hazelnuts and pumpkin seeds cool. Purée in a food processor until a smooth paste forms (this will take several minutes and you will need to scrape down sides a few times.) Taste and season hazelnut–pumpkin seed butter with kosher salt.', 'Finely grind blueberries, red pepper flakes, and a pinch of kosher salt in spice mill or with mortar and pestle. Drizzle toast with 2 Tbsp. oil and spread 2 Tbsp. hazelnut–pumpkin seed butter over each. Top with mango; drizzle with honey and oil. Sprinkle with blueberry–red pepper mixture and sea salt.']","['Bon Appétit', 'Breakfast', 'Tropical Fruit', 'Mango', 'Hazelnut', 'Seed', 'Honey', 'Vegetarian']"
Weekly Meal Plan: April 8–12,article,"Zingy pineapple shrimp, sheet-pan tandoori chicken, and the world’s easiest enchiladas.",/recipes-menus/weekly-meal-plan-zingy-pineapple-shrimp-sheet-pan-tandoori-chicken-and-the-worlds-easiest-enchiladas-article,,,,,
"Turn Veggies into Dinner with One of These ""Sauces"" ",article,They're the secret to our food editor's favorite quick and easy weeknight dinners.,/expert-advice/high-protein-sauces-for-vegetables-article,,,,,
Weekly Meal Plan: September 3–7,article,Featuring sheet-pan chicken and so. many. cherry tomatoes.,/recipes-menus/weekly-meal-plan-sept-3-7-2018-article,,,,,
This Chilled Cucumber-Avocado Soup Is the Easiest Summer Dinner I Know,article,It's cool yet spicy. Elegant yet easy. And perfect for warm-weather get-togethers.,/recipes-menus/this-chilled-cucumber-avocado-soup-is-the-easiest-summer-meal-i-know-article,,,,,
"The Fastest Way to ""Hard-Boil"" a Huge Batch of Eggs Is to Steam Them",article,Stick with me here.,/expert-advice/the-fastest-way-to-hard-boil-a-huge-batch-of-eggs-article,,,,,
Quick-Pickled Charred Vegetables,recipe,This technique is nothing short of amazing—even if you're finicky about your pickles.,/recipes/food/views/quick-pickled-charred-grilled-vegetables,4,100%,"['1 1/2 cups distilled white vinegar or cider vinegar', '1/2 cup sugar', '1 teaspoon salt', '1 teaspoon mustard seeds', '1 teaspoon coriander seeds', '1 teaspoon black peppercorns', '2 bay leaves', '2 cloves garlic, sliced', '2 pounds vegetables of your choice']","['Put the vinegar, sugar, salt, mustard seeds, coriander seeds, peppercorns, and bay leaves in a small saucepan over medium heat. Stir until the sugar dissolves. Remove from the heat and add the garlic. When it cools, pour it into a large, nonreactive metal or glass bowl.']","['Appetizer', 'Condiment', 'Pickles', 'Vegetable', 'Vegetarian', 'Vegan', 'Grill', 'Grill/Barbecue']"
