current_rank,current_rating,games,losses,name,peak_rating,player_id,ties,total_prize_money,wins,points_for_against
99,1784,"1,062",486, Jeff Cook,1784,63,4,"$3,685",572,399-388
100,1781,549,259, Dan Wachtell,1787,2483,2,"$2,180",288,394-393
102,1778,"4,260","1,641", Steve Polatnick,2094,299,27,"$20,127","2,485",406-390
102,1777,"3,800","1,427", Daniel Stock,1841,807,20,"$7,289","2,353",410-377
103,1772,"1,631",763, Craig Rowland,1862,1628,4,"$1,538",864,395-392
104,1771,"1,476",760, Jeremy Frank,1856,40,7,"$1,575",709,389-392
105,1770,346,148, Jonathan Lindh,1770,23486,1,$0,197,396-379
106,1764,"1,847",760, Michael Willis,1969,438,5,"$4,345","1,040",386-380
106,1764,"3,651","1,837", Steve Oliger,1840,585,18,"$5,395","1,796",379-383
108,1763,767,329, Deen Hergott,1854,18952,4,"$2,005",434,401-388
109,1761,935,380, Sam Hollington,1779,1634,2,"$4,962",553,404-384
110,1757,"7,039","3,097", Jan Cardia,2050,39,41,"$18,556","3,836",389-381
111,1753,885,391, Gunther Jacobi,1828,14162,3,"$2,987",491,407-392
112,1752,940,481, Marilyn Wilkins,1785,19164,5,"$1,083",454,388-393
113,1751,"1,728",745, Kate Fukawa-Connelly,1934,1954,10,"$8,913",973,415-398
114,1750,427,159, Richard Spence,1814,17960,3,"$4,670",265,414-374
115,1743,388,159, Joe South,1759,11444,2,"$1,710",227,398-381
115,1743,723,265, Chad Harris,1797,11449,1,"$6,243",457,414-380
117,1737,561,264, Chris Kulig,1746,3570,2,$857,295,396-389
118,1736,794,335, Michael Thelen,2003,775,3,"$4,805",456,407-383
118,1736,"1,259",555, Mike Stafford,1781,782,5,$989,699,386-379
120,1733,"2,426","1,118", Mark Przybyszewski,1950,588,14,"$3,681","1,273",390-390
121,1732,921,429, Paul Erland,1884,4884,3,"$2,178",471,400-396
122,1731,"1,177",570, Fern Lindzon,1792,975,6,"$1,987",601,396-391
123,1730,386,179, Tasha Asberry,1744,20665,2,$550,205,394-381
124,1726,"3,714","1,803", Sal Piro,1881,58,17,"$5,289","1,889",401-395
125,1723,"1,141",565, John Chew,1867,1679,6,"$1,983",570,396-400
126,1720,"2,099","1,006", Bruce Ward,1839,2169,4,"$3,530","1,089",395-390
126,1720,"2,160","1,047", Richard Popper,1805,106,8,"$3,605","1,105",394-395
128,1718,"3,479","1,320", Patricia Barrett,2021,429,8,"$18,346","2,140",399-388
128,1718,"3,274","1,479", Michael Early,1896,437,21,"$15,574","1,747",400-395
130,1717,"2,153","1,017", Roy Kamen,1838,1587,12,"$4,940","1,117",401-395
131,1714,"1,332",595, Matthew Ridout,1791,529,6,"$2,995",731,396-384
132,1713,884,389, Ken Clark,1955,3327,3,"$1,876",480,395-396
133,1712,"2,184",973, Robert Kahn,1963,1848,14,"$3,454","1,170",397-397
133,1712,"1,452",696, Ronald Howard,1820,681,5,"$2,120",751,399-394
135,1709,"1,712",713, Juraj Pivovarov,1756,3812,5,"$2,811",994,397-376
136,1707,"2,987","1,251", Steve Grob,1997,1232,9,"$6,429","1,670",404-390
136,1707,"5,777","2,680", Michael Baker,1887,667,25,"$17,430","3,053",401-392
138,1702,"1,316",579, Jeffrey Nelson,1823,17886,1,"$3,130",736,404-385
139,1700,976,478, Joel Elkins,1864,341,0,"$2,635",498,400-398
140,1699,"3,968","1,953", Bruce D Ambrosio,1903,337,16,"$4,769","1,967",390-394
141,1696,"3,879","1,832", Larry Sherman,1918,32,26,"$7,020","1,980",392-396
142,1692,"1,381",607, Ross Brown,1876,17922,5,"$6,066",769,399-387
143,1691,792,345, Timothy Bottorff,1809,16519,4,"$2,535",443,401-392
144,1689,"3,272","1,616", Mitchell Brook,1798,561,17,"$5,278","1,639",387-395
145,1688,"1,884",704, George Macaulay,1866,956,9,"$4,200","1,171",416-380
146,1685,"1,161",553, Ricky Sirois,1735,7598,6,"$1,645",602,389-389
146,1685,998,489, Peter Barkman,1744,1356,1,"$1,690",508,392-389
146,1685,"1,111",504, Shan Abbasi,1809,18541,4,$958,603,412-400
149,1684,"2,089","1,053", Diane Firstman,1887,45,11,"$2,120","1,025",383-388
149,1684,"2,177","1,072", Debbie Stegman,1894,590,11,"$3,910","1,089",391-393
151,1683,"2,565","1,166", Steve Tier,1984,579,16,"$5,035","1,357",388-385
152,1682,"4,589","2,194", Joel Horn,1933,66,16,"$8,193","2,366",385-384
153,1678,"1,219",597, Kevin Leeds,1747,1115,3,"$1,965",619,388-389
154,1677,"3,132","1,550", Connie Creed,1697,107,8,"$4,965","1,574",388-386
155,1675,"2,280","1,073", Noel Livermore,1899,71,12,"$3,633","1,195",391-387
156,1674,"3,030","1,368", Frank Tangredi,1932,50,18,"$5,783","1,595",398-395
157,1673,219,91, Conor Munro,1673,23785,2,$500,126,399-380
157,1673,407,170, Paul Mulik,1673,2688,3,"$1,420",234,397-383
159,1671,"1,088",505, John Scalzo,1818,46,4,"$2,578",579,399-389
160,1668,"4,703","2,203", John Karris,1897,4,24,"$11,939","2,464",395-392
160,1668,549,249, Pat Gaboury,1723,89,5,"$1,305",295,397-395
162,1666,"1,287",600, Robin Lewis,1683,447,5,"$3,530",682,379-381
163,1665,665,340, Kristiina Overton,1816,1684,4,$175,306,388-393
164,1662,475,206, David A Brown,1662,18372,1,"$1,685",268,382-372
165,1660,594,285, Mohamed Alim,1729,3868,3,"$1,090",306,394-386
166,1659,743,335, Wayne Barclay,1746,11471,5,"$1,475",403,399-386
167,1658,"2,204","1,002", Greg Heidler,1830,1027,12,"$8,038","1,151",401-394
168,1657,"1,833",790, Alan Stern,1968,343,2,"$5,302",998,399-390
170,1652,617,265, Gary Skowronski,1712,17324,2,"$2,810",350,392-378
171,1646,"1,554",755, Marlene Milkent,1868,1448,10,"$2,450",789,387-388
171,1646,"1,368",704, Stefan Fatsis,1733,2858,4,$900,660,386-390
173,1645,"3,251","1,754", Steve Ozorio,1747,979,18,"$2,545","1,479",384-393
174,1644,"1,353",606, Ken Kasney,1864,469,7,"$4,000",740,394-388
176,1640,"1,041",502, Amnuay Ploysangngam,1888,4906,6,$41,482,381-395
176,1643,"2,200","1,054", Wallace Schultz,1798,697,15,"$4,509","1,131",401-400
178,1633,515,220, Ryan Chepita,1651,18267,2,"$1,955",293,394-379
179,1632,"2,655","1,260", Fran Silver,1910,1106,13,"$2,684","1,328",388-383
180,1630,"1,964",842, Michael Ecsedy,1790,243,10,"$7,660","1,106",394-380
181,1625,662,289, John Ortman,1642,16,4,"$2,054",369,389-379
181,1625,995,539, Benjamin Bloom,1734,272,5,$225,451,378-398
181,1625,"1,687",800, Edwin Roth,1648,18729,8,$800,879,387-382
184,1624,478,199, Andy Hoang,1640,20243,2,"$2,990",277,393-377
184,1624,992,474, Don Finkey,1685,2036,5,"$1,655",513,384-391
184,1624,"1,289",605, Mark Schmidt,1719,2437,7,"$3,706",677,389-381
187,1623,"2,298","1,137", Joanne Cohen,1926,581,13,"$1,340","1,098",385-386
187,1623,910,381, Josh Kopczak,1737,783,5,"$1,465",524,402-388
189,1621,"1,407",601, Mark Fidler,1903,2032,4,"$1,985",703,384-379
189,1621,"2,287",938, Michael Wolfberg,1970,591,10,"$7,391","1,281",399-378
191,1620,679,309, Paul Mishkin,1761,1423,3,"$1,419",367,381-371
192,1618,"1,246",484, Charlie Southwell,2051,3197,6,"$6,470",671,393-380
194,1614,"1,159",566, Tom Bond,1924,6894,4,$950,548,388-396
196,1611,"1,372",697, Jeff Martin,1710,684,4,"$3,075",671,385-391
197,1602,"1,443",669, Joe Petree,1842,11929,11,"$1,910",763,396-394
198,1601,912,449, Gerry Smith,1641,1126,3,"$1,340",460,387-399
199,1599,"1,463",651, Steve Hartsman,1809,508,6,"$4,250",806,397-382
200,1596,524,230, Elizabeth Davis,1596,13608,3,$970,291,379-370
201,1595,"2,304","1,114", Mike Ebanks,1675,842,10,"$2,571","1,180",392-386
202,1589,270,110, Kevin Nai,1622,17616,3,$660,157,385-371
203,1588,340,160, Donna Eisenstadt,1588,20157,2,$100,178,395-390
204,1587,462,198, Sam Masling,1597,20234,2,"$1,185",262,394-383
204,1587,"1,632",755, William Clark,1910,1308,6,"$2,770",852,387-391
