Byes,Credits,Losses,Name,New Rating,Old Rating,Other Money,Perf Rating,Place,Player ID,Prize Money,Seed,Spread,Ties,Tournament ID,Wins,division
,,15,Siri Tillekeratne,1645,1533,$100E,1818,50,676,,114,+394,,8163,16,Division 1
,,15,Lester Schonbrun,1820,1826,,1811,51,727,,49,+312,,8163,16,Division 1
,,15,Jim Kramer,1915,1966,,1801,52,1525,,18,+237,,8163,16,Division 1
,,15,Leesa Berahovich,1844,1846,,1834,53,10156,,42,+85,,8163,16,Division 1
1,,15,Steve Glass,1829,1857,,1772,54,269,,37,+74,,8163,15,Division 1
,,15,Darrell Day,1835,1856,,1791,55,434,,38,+3,,8163,16,Division 1
,,15,Kevin Rickhoff,1865,1887,,1827,56,934,,31,-148,,8163,16,Division 1
,,15,Marut Siriwangso,1809,,,,57,20757,,125,-165,,8163,16,Division 1
,,15,Scott Jackson,1839,1851,,1819,58,19162,,41,-220,,8163,16,Division 1
,,15,Jan Cardia,1754,1702,,1847,59,39,,82,-232,,8163,16,Division 1
,,15,Webster Phillips,1740,1684,$150E,1826,60,51,,87,-382,,8163,16,Division 1
,,15,Richard Popper,1741,1700,,1790,61,106,,83,-780,,8163,16,Division 1
,,15,Greg Heidler,1807,1784,,1846,62,1027,,60,-1244,,8163,16,Division 1
,,15,Amit Chakrabarti,1834,1852,,1808,63,2161,,40,+247,1,8163,15,Division 1
,,15,Jeremy Hall,1782,1772,,1789,64,13648,,63,+209,1,8163,15,Division 1
,,15,Joe Edley,1914,1955,,1848,65,578,,19,+128,1,8163,15,Division 1
,,16,Avery Mojica,1623,1489,,1776,66,19852,,119,+428,,8163,15,Division 1
,,16,Jeff Fiszbein,1709,1705,,1725,67,802,,80,+232,,8163,15,Division 1
1,,16,Michael Baker,1706,1696,,1705,68,667,,85,+169,,8163,14,Division 1
,,16,Lisa Odom,1874,1943,,1740,69,731,,22,+103,,8163,15,Division 1
,,16,Terry Kang Rau,1701,1638,,1789,70,564,,97,+23,,8163,15,Division 1
,,16,Ken Kasney,1701,1686,,1706,71,469,,86,-22,,8163,15,Division 1
,,16,Paul Holser,1805,1854,,1701,72,436,,39,-70,,8163,15,Division 1
,,16,Juraj Pivovarov,1672,1624,,1742,73,3812,,102,-123,,8163,15,Division 1
,,16,Jesse Matthews,1687,1627,,1785,74,957,,99,-324,,8163,15,Division 1
,,16,Mike Baron,1690,1639,$50E,1761,75,673,,96,-364,,8163,15,Division 1
,,16,Roy Kamen,1638,1572,,1744,76,1587,,109,-453,,8163,15,Division 1
1,,16,Brian Galebach,1696,1729,,1599,77,17325,,74,-460,,8163,14,Division 1
,,16,Ross Brown,1821,1860,,1750,78,17922,,35,-482,,8163,15,Division 1
,,16,Matthew Ridout,1707,1716,,1691,79,529,,76,-676,,8163,15,Division 1
,,16,Mark Przybyszewski,1786,1866,,1627,80,588,,33,-93,1,8163,14,Division 1
3,,14,John Stardom,1767,1831,,1592,81,984,,48,+178,,8163,14,Division 1
,,17,Jason Keller,1867,1934,,1738,82,18544,,25,+146,,8163,14,Division 1
,,17,Dielle Saldanha,1708,1757,,1640,83,1787,,70,+77,,8163,14,Division 1
1,,17,Roland Filio,1593,1578,,1621,84,1984,,107,+27,,8163,13,Division 1
1,,16,Amnuay Ploysangngam,1648,1650,,1635,85,4906,,94,+23,,8163,14,Division 1
,,17,Alan Stern,1713,1759,,1645,86,343,,68,-47,,8163,14,Division 1
,,17,Kate Fukawa-Connelly,1800,1858,,1691,87,1954,,36,-234,,8163,14,Division 1
1,,17,Win Inthara,1634,1666,,1582,88,1850,,91,-389,,8163,13,Division 1
,,17,Darin True,1646,1644,,1646,89,267,,95,-483,,8163,14,Division 1
,,17,Joey Krafchick,1724,1777,,1647,90,17589,,61,-487,,8163,14,Division 1
,,17,KC Frodyma,1646,1627,,1659,91,17101,,99,-487,,8163,14,Division 1
,,17,Jason Ubeika,1704,1745,,1650,92,812,,73,-539,,8163,14,Division 1
,,17,Emely Weissman,1676,1663,,1676,93,15,,92,-800,,8163,14,Division 1
1,,17,Jackie Wong,1559,1523,,1593,94,11930,,116,-975,,8163,13,Division 1
1,,17,Melissa Routzahn,1655,1681,,1595,95,512,,89,-1117,,8163,13,Division 1
1,,17,Shannon Burns,1653,1704,,1586,96,1222,,81,-103,1,8163,12,Division 1
,,17,Robert Kahn,1686,1715,,1637,97,1848,,77,-622,1,8163,13,Division 1
,,18,Jeffrey Nelson,1583,1546,,1652,98,17886,,112,+469,,8163,13,Division 1
,,18,Michael Thelen,1719,1807,,1596,99,775,,56,-53,,8163,13,Division 1
1,,18,Reid Hattaway,1649,1711,,1563,100,17644,,79,-122,,8163,12,Division 1
1,,18,Wallace Schultz,1590,1611,,1559,101,697,,104,-252,,8163,12,Division 1
1,,18,Mike Howlett,1678,1769,,1512,102,2317,,64,-291,,8163,12,Division 1
,,18,Wayne Clifford,1562,1529,,1606,103,958,,115,-400,,8163,13,Division 1
1,,18,Lawren Freebody,1510,1484,,1556,104,4394,,120,-502,,8163,12,Division 1
1,,18,Carol Kaplan,1599,1627,,1569,105,669,,99,-692,,8163,12,Division 1
,,18,Liz Gottlin,1595,1578,,1618,106,13564,,107,-818,,8163,13,Division 1
,,18,Zev Kaufman,1777,1845,,1661,107,1678,,44,-955,,8163,13,Division 1
1,,18,Yukiko Loritz,1547,1561,,1431,108,2356,,111,-102,1,8163,11,Division 1
1,,18,Michael Early,1648,1714,$25E,1545,109,437,,78,-649,1,8163,11,Division 1
,,19,Dave Leifer,1588,1622,,1533,110,1815,,103,-123,,8163,12,Division 1
1,,19,Gunther Jacobi,1572,1635,,1425,111,14162,,98,-134,,8163,11,Division 1
,,19,Ted Rosen,1535,1546,,1534,112,2403,,112,-902,,8163,12,Division 1
,,19,Bruce D Ambrosio,1523,1513,,1524,113,337,,117,-907,,8163,12,Division 1
1,,19,Cheryl Tyler,1508,1512,,1495,114,2121,,118,-977,,8163,11,Division 1
,,19,Jim Burlant,1618,1651,,1576,115,18556,,93,-1246,,8163,12,Division 1
1,,19,Judy Newhouse,1453,1440,,1479,116,449,,122,-1432,,8163,11,Division 1
1,,20,Tom Bond,1525,1584,,1439,117,6894,,106,-560,,8163,10,Division 1
1,,20,Scott Leifer,1525,1587,,1419,118,2034,,105,-759,,8163,10,Division 1
1,,20,Paul Sidorsky,1602,1697,,1467,119,840,,84,-908,,8163,10,Division 1
1,,20,Chris Patrick Morgan,1673,1822,,1429,120,20,,52,-1000,,8163,10,Division 1
2,,19,Charlie Southwell,1597,1682,,1461,121,3197,,88,-1203,,8163,10,Division 1
1,,20,Noella Ward,1471,1484,,1409,122,959,,120,-1240,,8163,10,Division 1
1,,21,Robert Felman,1499,1571,,1390,123,2950,,110,-1118,,8163,9,Division 1
1,,22,Danny Panganiban,1332,1335,,1335,124,1279,,124,-1556,,8163,8,Division 1
1,,22,Jim Pate,1371,1415,,1298,125,2994,,123,-1804,,8163,8,Division 1
,,9,Menachem Rosenberg,1739,1622,,1895,1,18737,"$2,500",14,+1206,,8163,22,Division 2
,,10,Glenn Dunlop,1665,1565,,1804,2,1876,"$1,000",32,+865,,8163,21,Division 2
,,10,Siddharth Murali,1715,1638,,1816,3,21134,$600,11,+424,,8163,21,Division 2
,,10,Joshua Sokol,1669,1563,,1816,4,11232,$500,33,+423,,8163,21,Division 2
,,10,Paul Avrin,1630,1504,,1795,5,44,$450,55,+877,1,8163,20,Division 2
,,11,Sam Towne,1616,1535,,1733,6,20943,$400,42,+1348,,8163,20,Division 2
,,11,John Dalton,1632,1576,,1705,7,440,$350,31,+1072,,8163,20,Division 2
,,11,Kay Patterson,1639,1515,,1762,8,677,$300,51,+748,,8163,20,Division 2
,,11,Morris Greenberg,1686,1653,,1776,9,18741,$250,7,+678,,8163,20,Division 2
,,11,George Asaka,1562,1418,,1745,10,10147,$225,81,+121,1,8163,19,Division 2
,,12,Doug Lundquist,1676,1646,,1714,11,18705,,9,+1817,,8163,19,Division 2
,,12,Nick Fraher,1547,1427,,1714,12,17834,,79,+997,,8163,19,Division 2
,,12,Chris Canik,1643,1614,,1682,13,495,,16,+714,,8163,19,Division 2
,,12,Kent Nelson,1653,1628,,1682,14,668,,13,+482,,8163,19,Division 2
,,12,Gerry Greenside,1670,1662,,1733,15,1449,,5,+469,,8163,19,Division 2
,,12,Pete Skaggs,1615,1563,,1680,16,3751,,33,+210,,8163,19,Division 2
,,12,Robin Lewis,1677,1683,,1661,17,447,,2,+145,,8163,19,Division 2
,,12,Connie Creed,1598,1530,,1686,18,107,,45,-50,,8163,19,Division 2
,,13,Rahn McKeown,1664,1689,$25E,1622,19,81,,1,+1706,,8163,18,Division 2
,,13,Jack Norman,1572,1511,,1669,20,20454,,52,+1039,,8163,18,Division 2
,,13,Will Scott,1451,1287,,1583,21,2876,,112,+964,,8163,18,Division 2
,,13,David Weiss,1519,1471,$125E,1577,22,1030,,65,+870,,8163,18,Division 2
,,13,Joe Neff,1499,1411,$100E,1620,23,2378,,83,+641,,8163,18,Division 2
,,13,Murray Weber,1581,1557,,1618,24,2795,,36,+386,,8163,18,Division 2
,,13,David Engelhardt,1613,1608,,1622,25,103,,18,+312,,8163,18,Division 2
,,13,Ricky Sirois,1596,1583,,1604,26,7598,,30,+283,,8163,18,Division 2
,,13,Chuck Riordan,1522,1469,,1578,27,15876,,66,+279,,8163,18,Division 2
,,13,Sal Piro,1647,1658,,1646,28,58,,6,+132,,8163,18,Division 2
,,13,Tobey Roland,1522,1439,,1641,29,17326,,75,-112,,8163,18,Division 2
,,13,Carl Davis,1482,1432,,1548,30,1330,,78,+295,1,8163,17,Division 2
,,14,Stephen Sneed,1639,1669,,1594,31,18553,,4,+1017,,8163,17,Division 2
1,,14,Max Dwyer,1450,1407,,1501,32,19397,,87,+955,,8163,16,Division 2
,,14,Cynthia Seales,1530,1529,,1521,33,685,,46,+953,,8163,17,Division 2
1,,14,Mike Ebanks,1463,1438,,1472,34,842,,76,+806,,8163,16,Division 2
,,14,Cynthia Pughsley,1518,1486,,1555,35,260,,62,+664,,8163,17,Division 2
,,14,Harriette Lakernick,1548,1531,,1568,36,268,,43,+651,,8163,17,Division 2
,,14,Kristina Simon,1612,1632,,1588,37,450,,12,+522,,8163,17,Division 2
,,14,Ruchi Gupta,1482,1436,,1543,38,1375,,77,+470,,8163,17,Division 2
,,14,Bob Becker,1561,1517,,1629,39,944,,50,+401,,8163,17,Division 2
,,14,Lila Crotty,1504,1465,,1551,40,1188,,69,+204,,8163,17,Division 2
,,14,Piengkamol Intarasuwan,1589,1607,,1559,41,18458,,20,+105,,8163,17,Division 2
,,14,Stefan Fatsis,1578,1597,,1570,42,2858,,23,+57,,8163,17,Division 2
,,14,Jarett Myskiw,1610,1606,,1623,43,1159,,21,+55,,8163,17,Division 2
1,,14,Frederick Schneider,1381,1279,,1462,44,1515,,115,+724,1,8163,15,Division 2
,,14,Chris Tallman,1625,1680,,1541,45,19971,,3,+542,1,8163,16,Division 2
,,14,Brian Leavitt,1468,1388,,1577,46,1921,,92,+170,1,8163,16,Division 2
,,14,Heather Steffy,1519,1504,,1565,47,18552,,55,-178,1,8163,16,Division 2
,,15,Matt Dewaelsche,1469,1451,,1482,48,442,,73,+636,,8163,16,Division 2
,,15,Mark Fidler,1562,1593,,1518,49,2032,,27,+469,,8163,16,Division 2
,,15,Martin Weisskopf,1562,1586,,1533,50,2865,,29,+463,,8163,16,Division 2
1,,15,Lynda Finn,1509,1548,,1441,51,17361,,39,+388,,8163,15,Division 2
,,15,Priya Fernando,1436,1398,,1484,52,999,,89,+216,,8163,16,Division 2
,,15,Nedd Kareiva,1536,1558,,1498,53,2572,,35,+208,,8163,16,Division 2
,,15,Michael Kapernaros,1557,1593,,1526,54,19637,,27,+113,,8163,16,Division 2
,,15,Robert Fenske,1434,1394,,1490,55,474,,90,-5,,8163,16,Division 2
,,15,Linda Wancel,1431,1376,,1502,56,10334,,96,-35,,8163,16,Division 2
,,15,Jeanmarie Youngblood,1489,1465,,1526,57,19638,,69,-38,,8163,16,Division 2
,,15,Michael Stevens,1553,1597,,1483,58,4093,,23,-147,,8163,16,Division 2
,,15,Doug Szymkowiak,1407,1355,,1467,59,18977,,100,-160,,8163,16,Division 2
,,15,Marty Fialkow,1432,1405,,1461,60,120,,88,-287,,8163,16,Division 2
,,15,Roger Cullman,1492,1490,,1486,61,619,,60,-330,,8163,16,Division 2
,,15,Jeremy Jeffers,1482,1447,,1531,62,4556,,74,-453,,8163,16,Division 2
,,15,Trevor Sealy,1433,1409,,1467,63,987,,84,-784,,8163,16,Division 2
,,15,Carl Stocker,1540,1610,,1428,64,1849,,17,+224,1,8163,15,Division 2
,,15,Andrea Carla Michaels,1411,1389,,1437,65,262,,91,-15,1,8163,15,Division 2
,,16,Chris Schneider,1564,1642,,1429,66,753,,10,+1086,,8163,15,Division 2
,,16,Luise Shafritz,1588,1648,$25E,1508,67,671,,8,+442,,8163,15,Division 2
,,16,Daniel Tinkelman,1456,1469,,1412,68,18336,,66,+391,,8163,15,Division 2
,,16,Betty Cornelison,1395,1375,,1425,69,1036,,98,+238,,8163,15,Division 2
1,,16,Arnie Horowitz,1489,1547,,1382,70,49,,40,+117,,8163,14,Division 2
,,15,Steve Anstandig,1530,1596,,1444,71,815,,26,+58,2,8163,14,Division 2
,,16,Sarah King,1430,1409,,1465,72,749,,84,-12,,8163,15,Division 2
,,16,Brenda Casey,1446,1416,,1484,73,633,,82,-54,,8163,15,Division 2
,,16,Curran Eggertson,1499,1529,,1450,74,20890,,46,-109,,8163,15,Division 2
,,16,Curtis Lee,1459,1474,,1428,75,5823,,63,-120,,8163,15,Division 2
,,16,Jeff Martin,1554,1603,,1498,76,684,,22,-131,,8163,15,Division 2
1,,16,Caesar Jaramillo,1382,1352,,1421,77,441,,102,-381,,8163,14,Division 2
,,16,Judy Cole,1361,1310,$25E,1439,78,17811,,109,-446,,8163,15,Division 2
,,16,Judy Romann,1562,1608,,1501,79,11418,,18,-458,,8163,15,Division 2
,,16,Cheryl Melvin,1350,1301,,1412,80,290,,110,-494,,8163,15,Division 2
1,,16,Carole Denton,1471,1507,,1415,81,80,,53,-967,,8163,14,Division 2
,,16,James Porter,1467,1505,,1416,82,19325,,54,+144,1,8163,14,Division 2
,,16,Ryan Burgess,1397,1382,,1409,83,11248,,95,-491,1,8163,14,Division 2
1,,16,Joan Kelly,1358,1376,,1325,84,87,,96,-1149,1,8163,13,Division 2
,,17,Mariah Smith,1435,1498,,1341,85,18817,,58,+308,,8163,14,Division 2
1,,17,Arun Methaset,1485,1597,$25E,1314,86,4907,,23,+252,,8163,13,Division 2
,,17,David Slavin,1394,1408,,1381,87,362,,86,-113,,8163,14,Division 2
1,,17,Arthur Finkle,1333,1348,,1296,88,5309,,104,-128,,8163,13,Division 2
,,17,Heather McCall,1462,1537,,1372,89,981,,41,-229,,8163,14,Division 2
,,17,Betty Burton,1446,1468,,1419,90,97,,68,-348,,8163,14,Division 2
,,17,Gary Perman,1435,1472,,1392,91,1953,,64,-432,,8163,14,Division 2
,,17,Alex Rodriguez,1341,1331,,1342,92,19473,,105,-547,,8163,14,Division 2
,,17,Geoff Gibson,1333,1298,,1395,93,320,,111,-559,,8163,14,Division 2
1,,17,Samantha Orleans,1227,1156,,1341,94,147,,122,-635,,8163,13,Division 2
,,17,Lilla Sinanan,1336,1317,,1375,95,311,,108,-752,,8163,14,Division 2
1,,17,Bruce Shuman,1260,1231,,1309,96,452,,117,-1003,,8163,13,Division 2
,,17,Carolyn Easter,1435,1464,,1398,97,690,,71,-1027,,8163,14,Division 2
,,17,Alan Kait,1362,1371,,1350,98,17168,,99,-12,1,8163,13,Division 2
1,,18,John Fultz,1384,1422,,1330,99,789,,80,+429,,8163,12,Division 2
,,18,Joanne Cohen,1442,1531,,1317,100,581,,43,+14,,8163,13,Division 2
1,,18,Gary Moss,1427,1527,,1283,101,353,,48,-88,,8163,12,Division 2
,,18,Tim Weiss,1331,1318,,1362,102,20909,,107,-279,,8163,13,Division 2
1,,18,Liz Ashby,1336,1388,,1262,103,3272,,92,-472,,8163,12,Division 2
,,18,Kit Morehead,1444,1518,,1352,104,1411,,49,-630,,8163,13,Division 2
1,,18,Carole Miller,1268,1270,,1255,105,455,,116,-746,,8163,12,Division 2
1,,18,Ellen Perr,1234,1217,,1266,106,2937,,118,-770,,8163,12,Division 2
1,,18,Mike Johnson,1421,1553,,1322,107,19857,,38,-868,,8163,12,Division 2
1,,18,Lynda Wise,1382,1456,,1234,108,982,,72,-894,,8163,12,Division 2
,,18,Richard Strick,1350,1385,,1310,109,18472,,94,-919,,8163,13,Division 2
1,,18,Paula Catanese,1415,1487,,1313,110,11,,61,-1777,,8163,12,Division 2
,,18,Gary Smart,1445,1554,,1291,111,745,,37,-517,1,8163,12,Division 2
1,,19,Diana Grosman,1407,1504,,1265,112,114,,55,-189,,8163,11,Division 2
1,,19,Anna Miransky,1296,1353,,1221,113,1249,,101,-526,,8163,11,Division 2
1,,19,Mary Ellen Weisskopf,1208,1205,,1191,114,2867,,119,-673,,8163,11,Division 2
,,19,Terry Veevers,1297,1328,,1264,115,4310,,106,-710,,8163,12,Division 2
1,,19,Linda Oliva,1294,1352,,1184,116,567,,102,-987,,8163,11,Division 2
1,,19,Betsey Wood,1196,1170,,1237,117,658,,121,-1016,,8163,11,Division 2
1,,20,Tracy Bowman,1355,1493,,1140,118,1618,,59,-795,,8163,10,Division 2
1,,21,Pamina Deutsch,1222,1281,,1118,119,3287,,114,-1040,,8163,9,Division 2
1,,21,George Bissonnette,1154,1184,,1073,120,1611,,120,-1529,,8163,9,Division 2
1,,22,Michael Bassett,1122,1155,,1047,121,18551,,123,-1413,,8163,8,Division 2
1,,23,Nancy Scott,1183,1284,,1004,122,1334,,113,-1035,,8163,7,Division 2
1,,23,Prachya Pitapho,1288,1616,,983,123,6030,,15,-1381,,8163,7,Division 2
,,8,Andy Hoang,1407,1250,,1640,1,20243,"$2,000",44,+1519,,8163,23,Division 3
,,9,Gary Skowronski,1451,1372,,1562,2,17324,$800,6,+1146,,8163,22,Division 3
,,9,Katya Lezin,1432,1361,,1595,3,17710,$600,12,+1038,1,8163,21,Division 3
,,10,Pamela Stubblefield,1427,1364,$25E,1506,4,381,$500,10,+1116,,8163,21,Division 3
,,10,Ryan Chepita,1448,1392,,1529,5,18267,$450,3,+1031,,8163,21,Division 3
,,10,Guy Ingram,1349,1183,,1556,6,20460,$400,69,+927,,8163,21,Division 3
,,11,Kristy Zurbrick,1307,1211,,1441,7,790,$350,63,+1056,,8163,20,Division 3
,,11,Brett Jackson,1418,1373,,1475,8,20761,$300,5,+1048,,8163,20,Division 3
,,11,Sam Masling,1351,1250,$25E,1479,9,20234,$250,44,+1000,,8163,20,Division 3
,,11,Vail Palmer,1387,1327,,1464,10,2084,$225,19,+956,,8163,20,Division 3
,,11,Gigi Miller,1362,1309,,1425,11,1066,,25,+668,,8163,20,Division 3
,,11,Huguette Settle,1365,1302,,1448,12,965,,27,+526,,8163,20,Division 3
,,12,Amalan Iyengar,1384,1367,,1403,13,19950,,9,+1252,,8163,19,Division 3
,,12,Shauna Petrie,1364,1334,,1396,14,923,,17,+990,,8163,19,Division 3
,,12,Clay Koziol,1319,1251,,1436,15,20570,,43,+946,,8163,19,Division 3
,,12,Richard Frank,1326,1265,,1400,16,348,,35,+682,,8163,19,Division 3
,,12,Edward Gowash,1325,1293,,1363,17,11439,,31,+334,,8163,19,Division 3
,,12,Brian Nelson,1392,1394,,1412,18,933,,1,+312,,8163,19,Division 3
,,12,Vicki Holmes,1287,1190,$200E,1369,19,20865,,66,+123,,8163,19,Division 3
,,12,Margie Gordon,1288,1236,$150E,1368,20,1459,,51,+388,1,8163,18,Division 3
,,13,Mary Pastore,1298,1252,,1373,21,16522,,41,+1306,,8163,18,Division 3
,,13,Rhonda Morris,1275,1254,,1297,22,1715,,40,+903,,8163,18,Division 3
,,13,Steve Moniz,1357,1353,,1359,23,94,,13,+632,,8163,18,Division 3
,,13,Crayne Spanier,1279,1221,$125E,1378,24,20416,,58,+597,,8163,18,Division 3
,,13,Nancy Bowen,1084,919,$150E,1306,25,20268,,135,+479,,8163,18,Division 3
,,13,Michelle Davis,1307,1299,,1313,26,1331,,29,+379,,8163,18,Division 3
,,13,Joan Knobelsdorf,1265,1228,$100E,1332,27,288,,55,+312,,8163,18,Division 3
,,13,Benjamin Ritter,1327,1170,,1404,28,21132,,77,+285,,8163,18,Division 3
,,13,Margo Kuno,1338,1332,,1352,29,131,,18,+227,,8163,18,Division 3
,,13,Barbara Drinkwine,1317,1296,,1359,30,515,,30,+218,,8163,18,Division 3
,,12,Judy Smith,1234,1190,,1289,31,17821,,66,+117,2,8163,17,Division 3
,,13,Marwan Saadi,1294,1264,,1324,32,17791,,36,-388,,8163,18,Division 3
,,13,Miriam Gregory,1261,1212,,1327,33,2101,,62,-18,1,8163,17,Division 3
,,13,Ben Settle,1164,1067,$125E,1309,34,2497,,111,-388,1,8163,17,Division 3
,,14,Doreen Fiorelli,1300,1321,,1254,35,20087,,21,+929,,8163,17,Division 3
,,14,Andrew Gardner,1322,1346,,1275,36,20313,,15,+917,,8163,17,Division 3
,,14,John Price,1330,1370,$25E,1258,37,20463,,7,+910,,8163,17,Division 3
,,14,Marla Riff,1311,1351,,1242,38,18576,,14,+598,,8163,17,Division 3
,,14,Meredith Leigh,1191,1122,$100E,1284,39,19050,,94,+516,,8163,17,Division 3
,,14,Alexander Rivard,1264,1256,,1273,40,20081,,39,+477,,8163,17,Division 3
,,14,Andy Murphy,1257,1229,,1293,41,19539,,54,+231,,8163,17,Division 3
,,14,Tina Cur,1131,1025,,1278,42,1638,,120,+227,,8163,17,Division 3
,,14,Miriam Green,1347,1370,,1332,43,1035,,7,+190,,8163,17,Division 3
,,14,Marina A Villena,1246,1234,,1254,44,1067,,52,+176,,8163,17,Division 3
,,14,Gloria Miller,1158,1078,,1263,45,384,,106,-22,,8163,17,Division 3
,,14,Danny Kidd,1243,1240,,1235,46,285,,50,-98,,8163,17,Division 3
,,14,Eileen Johnson,1319,1362,,1246,47,647,,11,-109,,8163,17,Division 3
,,14,April McCarley,1326,1391,,1234,48,463,,4,-145,,8163,17,Division 3
,,14,David Klionsky,1169,1067,,1315,49,212,,111,-177,,8163,17,Division 3
,,14,Tom O'Laughlin,1188,1153,,1238,50,536,,83,+252,1,8163,16,Division 3
,,15,David Postal,1173,1146,,1206,51,935,,86,+910,,8163,16,Division 3
,,15,Denise Mahnken,1275,1326,,1199,52,160,,20,+754,,8163,16,Division 3
,,15,Mad Palazzo,1207,1258,,1129,53,991,,37,+726,,8163,16,Division 3
,,15,Derven Francis,1227,1248,,1195,54,194,,46,+454,,8163,16,Division 3
,,15,Betzy Collins,1200,1217,,1155,55,915,,60,+437,,8163,16,Division 3
,,15,Joe Roberdeau,1122,1040,,1241,56,20492,,116,+319,,8163,16,Division 3
,,15,Julie Ellen Maria,1263,1318,,1167,57,356,,23,+253,,8163,16,Division 3
,,15,Dave Krook,1245,1252,,1226,58,928,,41,+80,,8163,16,Division 3
,,14,Charlene White,1203,1180,,1168,59,248,,72,+59,2,8163,15,Division 3
